Name   |           Avg |        StdDev |           Min |           Max |         0.01% |          0.1% |            1% |           50% |           99% |         99.9% |        99.99% |          CV % |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
normal |   1562956.400 |    212227.806 |   1356300.000 |   2916700.000 |   1356789.510 |   1361195.100 |   1366692.000 |   1480800.000 |   2228465.000 |   2698218.700 |   2894851.870 |         13.58 |
v lob  |  36436955.900 |    770109.178 |  35236800.000 |  41683400.000 |  35238468.330 |  35253483.300 |  35342261.000 |  36319300.000 |  39193095.000 |  40661423.000 |  41581202.300 |          2.11 |
iter   |   1415046.900 |     75857.752 |   1350600.000 |   1796800.000 |   1350609.990 |   1350699.900 |   1353798.000 |   1380000.000 |   1655314.000 |   1731165.700 |   1790236.570 |          5.36 |
sse v1 |  11628043.300 |    221387.711 |  11327700.000 |  12975900.000 |  11329128.570 |  11341985.700 |  11375700.000 |  11583450.000 |  12334037.000 |  12549426.900 |  12933252.690 |          1.90 |
sse v2 |   1061943.900 |     51030.696 |   1028300.000 |   1480800.000 |   1028409.890 |   1029398.900 |   1032300.000 |   1045400.000 |   1311235.000 |   1432448.400 |   1475964.840 |          4.81 |
avx h  |    424582.700 |     24984.443 |    409400.000 |    661400.000 |    409419.980 |    409599.800 |    410300.000 |    417200.000 |    524333.000 |    652309.100 |    660490.910 |          5.88 |
~
normal |   1422381.700 |    116334.062 |   1351600.000 |   2087000.000 |   1351619.980 |   1351799.800 |   1354499.000 |   1373100.000 |   2019617.000 |   2084902.100 |   2086790.210 |          8.18 |
v lob  |  36383577.800 |    609722.068 |  35524800.000 |  39539900.000 |  35525449.350 |  35531293.500 |  35570822.000 |  36269100.000 |  38409317.000 |  39472167.800 |  39533126.780 |          1.68 |
iter   |   1390089.000 |     62055.371 |   1346200.000 |   1797900.000 |   1346349.850 |   1347698.500 |   1351899.000 |   1365900.000 |   1631710.000 |   1730167.800 |   1791126.780 |          4.46 |
sse v1 |  17000651.800 |    437100.362 |  13712200.000 |  18734400.000 |  13874217.820 |  15332378.200 |  16066742.000 |  16912750.000 |  18243867.000 |  18733900.500 |  18734350.050 |          2.57 |
sse v2 |   1064238.300 |     58648.095 |   1026700.000 |   1627300.000 |   1026719.980 |   1026899.800 |   1028200.000 |   1043100.000 |   1304322.000 |   1500626.800 |   1614632.680 |          5.51 |
avx h  |    426982.300 |     30246.469 |    409000.000 |    697000.000 |    409019.980 |    409199.800 |    410000.000 |    416800.000 |    541494.000 |    673123.900 |    694612.390 |          7.08 |
~
normal |   1455794.200 |    147651.623 |   1353600.000 |   2239400.000 |   1353749.850 |   1355098.500 |   1357799.000 |   1388500.000 |   2007205.000 |   2103635.900 |   2225823.590 |         10.14 |
v lob  |  36835246.900 |    930143.235 |  35191400.000 |  42691400.000 |  35191599.800 |  35193398.000 |  35410088.000 |  36666650.000 |  39738511.000 |  42341750.000 |  42656435.000 |          2.53 |
iter   |   1438001.300 |    110692.894 |   1353500.000 |   2045100.000 |   1353529.970 |   1353799.700 |   1359700.000 |   1388850.000 |   1882601.000 |   2022522.600 |   2042842.260 |          7.70 |
sse v1 |  14954947.000 |    569119.661 |  12412700.000 |  16423900.000 |  12433189.490 |  12617594.900 |  13172195.000 |  15017400.000 |  16090937.000 |  16366557.400 |  16418165.740 |          3.81 |
sse v2 |   1084053.900 |     74108.674 |   1028900.000 |   1483200.000 |   1028999.900 |   1029899.000 |   1033000.000 |   1047400.000 |   1348584.000 |   1430552.700 |   1477935.270 |          6.84 |
avx h  |    441212.000 |     40745.169 |    410500.000 |    741800.000 |    410599.900 |    411499.000 |    412000.000 |    423100.000 |    563503.000 |    736605.200 |    741280.520 |          9.23 |
~
normal |   1449182.000 |    122078.154 |   1356000.000 |   2104900.000 |   1356189.810 |   1357898.100 |   1360100.000 |   1389000.000 |   1953244.000 |   2081423.500 |   2102552.350 |          8.42 |
v lob  |  35889061.600 |    676336.444 |  34804500.000 |  39151300.000 |  34808256.240 |  34842062.400 |  34865838.000 |  35799300.000 |  37844795.000 |  38798253.400 |  39115995.340 |          1.88 |
iter   |   1393846.900 |     68931.035 |   1348800.000 |   2228800.000 |   1348889.910 |   1349699.100 |   1353998.000 |   1368450.000 |   1686196.000 |   1774255.000 |   2183345.500 |          4.95 |
sse v1 |  14296321.500 |    296802.305 |  13904300.000 |  15867700.000 |  13904689.610 |  13908196.100 |  13919600.000 |  14244850.000 |  15147770.000 |  15492675.400 |  15830197.540 |          2.08 |
sse v2 |   1069731.700 |     71087.841 |   1027600.000 |   1742500.000 |   1027629.970 |   1027899.700 |   1028700.000 |   1043200.000 |   1348909.000 |   1730811.700 |   1741331.170 |          6.65 |
